"Bill of Material for "
"On 2017-12-20 at 9:50:12 PM"

"Comment","Pattern","Quantity","Components"

"0.1uF","C0805","9","C3, C5, C7, C11, C13, C15, C17, C19, C23","Cap Ceramic 0.1uF 16V X7R 10% SMD 0805 125C Paper T/R"
"10118193-0001LF","10118193","1","J1","USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle, Horizontal"
"10K Ohm","R0805","6","R1, R2, R3, R5, R7, R8","YAGEO         RC0805JR-0710KL             RES, THICK FILM, 10K, 5%, 0.125W, 0805"
"10nF","C0805","1","C4","CAP CER 10000PF 50V X7R 0805"
"10pF","C0805","5","C10, C12, C14, C16, C18","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16volts 10pF C0G 20%"
"10uF","C0805","4","C8, C9, C20, C21","Cap Ceramic 10uF 16V X5R 10% SMD 0805 85C T/R"
"18pF","C0805","2","C1, C2","Cap Ceramic 18pF 50V C0G 5% SMD 0805 125C Paper T/R"
"1k Ohm","R0805","6","R9, R10, R11, R12, R13, R14","RES SMD 560 OHM 5% 1/8W 0805"
"1N4001-E3/54","DIODE","1","D1","Rectifiers Vr/50V Io/1A"
"2.2uF","C0805","1","C6","CAP CER 2.2UF 16V X5R 0805"
"3.16k Ohm","R0805","1","R6","RES SMD 3.16K OHM 1% 1/8W 0805"
"4.7µF","C0805","1","C22","Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7M pF 10% 25 Volts"
"5.76k Ohm","R0805","1","R4","RESISTOR, THICK FILM, 5.76KOHM, 125mW, ± 1%"
"ABM7-24.000MHZ-D2Y-T","AMB7_v1_0_BIG","1","Y1","ABRACON         ABM7-24.000MHZ-D2Y-T             CRYSTAL, 24MHZ, 18PF, 6 X 3.5MM"
"FT232RL-REEL","SSOP_28","1","U5","IC USB FS SERIAL UART 28-SSOP"
"GREEN","LED","1","LED2","LED GREEN CLEAR 0805 SMD"
"HDR BOOT","HDR_MALE_BOOT","1","JP2","4 Positions Header, Unshrouded Connector 0.100" (2.54mm) Through Hole Gold or Gold, GXT™"
"HDR ESC","HDR_Male_ESC","4","JP4, JP5, JP6, JP7","4 Positions Header, Unshrouded Connector 0.100" (2.54mm) Through Hole Gold or Gold, GXT™"
"HDR NRST","HDR_Male_NRST","1","JP3","4 Positions Header, Unshrouded Connector 0.100" (2.54mm) Through Hole Gold or Gold, GXT™"
"HDR RX_5V","HDR_Male_RX_5V","1","JP11","4 Positions Header, Unshrouded Connector 0.100" (2.54mm) Through Hole Gold or Gold, GXT™"
"HDR ST-LINK","HDR_Male_ST-LINK","1","JP9","4 Positions Header, Unshrouded Connector 0.100" (2.54mm) Through Hole Gold or Gold, GXT™"
"HDR_RX","HDR_Male_RX","1","JP8","4 Positions Header, Unshrouded Connector 0.100" (2.54mm) Through Hole Gold or Gold, GXT™"
"ICM-20602","LGA","1","U1","WORLD'S BEST 6-AXIS INTEGRATED S"
"JTS_11.1V","JTS_11.1V","1","JTS",""
"LIPO_11.1V","LIPO_11.1V","1","LIPO",""
"MOSFET 3.3V to 5V","MOSFET","4","Q1, Q2, Q3, Q4","MOSFET 50V N-CH Logic Level"
"MOSFET 5V to 3.3v","MOSFET","4","Q5, Q6, Q7, Q8","MOSFET 50V N-CH Logic Level"
"RED","LED","1","LED1","LED RED CLEAR 0805 SMD"
"STM32F446RET6","STM32F446xC","1","U3","STMICROELECTRONICS         STM32F446RET6             32 Bit Microcontroller, High Performance, ARM Cortex-M4, 180 MHz, 512 KB, 128 KB, 64 Pins, LQFP"
"TL1963A-33DCQR","DCQ","2","U2, U4","IC REG LDO 3.3V 1.5A SOT223-6"
